VCD info: dumpfile alu.vcd opened for output.
tiempo=0 A=0000 B=0000 c_in=0 L=0 OP=00 R=0000, Z=1, C=0, S=0. ---- OK
tiempo=10 A=0000 B=0001 c_in=0 L=0 OP=00 R=0000, Z=1, C=0, S=0. ---- OK
tiempo=20 A=0000 B=0010 c_in=0 L=0 OP=00 R=0000, Z=1, C=0, S=0. ---- OK
tiempo=30 A=0000 B=0011 c_in=0 L=0 OP=00 R=0000, Z=1, C=0, S=0. ---- OK
tiempo=40 A=0000 B=0100 c_in=0 L=0 OP=00 R=0000, Z=1, C=0, S=0. ---- OK
tiempo=50 A=0000 B=0101 c_in=0 L=0 OP=00 R=0000, Z=1, C=0, S=0. ---- OK
tiempo=60 A=0000 B=0110 c_in=0 L=0 OP=00 R=0000, Z=1, C=0, S=0. ---- OK
tiempo=70 A=0000 B=0111 c_in=0 L=0 OP=00 R=0000, Z=1, C=0, S=0. ---- OK
tiempo=80 A=0000 B=1000 c_in=0 L=0 OP=00 R=0000, Z=1, C=0, S=0. ---- OK
tiempo=90 A=0000 B=1001 c_in=0 L=0 OP=00 R=0000, Z=1, C=0, S=0. ---- OK
tiempo=100 A=0000 B=1010 c_in=0 L=0 OP=00 R=0000, Z=1, C=0, S=0. ---- OK
tiempo=110 A=0000 B=1011 c_in=0 L=0 OP=00 R=0000, Z=1, C=0, S=0. ---- OK
tiempo=120 A=0000 B=1100 c_in=0 L=0 OP=00 R=0000, Z=1, C=0, S=0. ---- OK
tiempo=130 A=0000 B=1101 c_in=0 L=0 OP=00 R=0000, Z=1, C=0, S=0. ---- OK
tiempo=140 A=0000 B=1110 c_in=0 L=0 OP=00 R=0000, Z=1, C=0, S=0. ---- OK
tiempo=150 A=0000 B=1111 c_in=0 L=0 OP=00 R=0000, Z=1, C=0, S=0. ---- OK
tiempo=160 A=0001 B=0000 c_in=0 L=0 OP=00 R=0001, Z=0, C=0, S=0. ---- OK
tiempo=170 A=0001 B=0001 c_in=0 L=0 OP=00 R=0001, Z=0, C=0, S=0. ---- OK
tiempo=180 A=0001 B=0010 c_in=0 L=0 OP=00 R=0001, Z=0, C=0, S=0. ---- OK
tiempo=190 A=0001 B=0011 c_in=0 L=0 OP=00 R=0001, Z=0, C=0, S=0. ---- OK
